[0, 36]
  k  
 [15, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 84.37499999973632, 'Specificity': 28.57142857102041, 'Recall': 93.10344827554103, 'F1': 88.5245901635943, 'Miss_Rate': 0.0689655172411415, 'Accuracy_Balance': 60.837438423280716, 'Mathew_Correlation': 0.27296041684200534, 'Matrix': (27, 5, 2, 2)}]
 [17, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 84.37499999973632, 'Specificity': 28.57142857102041, 'Recall': 93.10344827554103, 'F1': 88.5245901635943, 'Miss_Rate': 0.0689655172411415, 'Accuracy_Balance': 60.837438423280716, 'Mathew_Correlation': 0.27296041684200534, 'Matrix': (27, 5, 2, 2)}]
 [19, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 84.37499999973632, 'Specificity': 28.57142857102041, 'Recall': 93.10344827554103, 'F1': 88.5245901635943, 'Miss_Rate': 0.0689655172411415, 'Accuracy_Balance': 60.837438423280716, 'Mathew_Correlation': 0.27296041684200534, 'Matrix': (27, 5, 2, 2)}]
[111, 147]
 [1, 99.99999999972222, {'Accuracy': 99.99999999972222, 'Precision': 99.99999999962964, 'Specificity': 99.99999999888888, 'Recall': 99.99999999962964, 'F1': 99.99999999957964, 'Miss_Rate': 0.0, 'Accuracy_Balance': 99.99999999925926, 'Mathew_Correlation': 0.9999999999999992, 'Matrix': (27, 0, 0, 9)}]
 [3, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 88.88888888855968, 'Specificity': 66.66666666592592, 'Recall': 88.88888888855968, 'F1': 88.88888888850968, 'Miss_Rate': 0.1111111111106996, 'Accuracy_Balance': 77.77777777724279, 'Mathew_Correlation': 0.5555555555555551, 'Matrix': (24, 3, 3, 6)}]
 [5, 80.55555555533178, {'Accuracy': 80.55555555533178, 'Precision': 85.71428571397959, 'Specificity': 55.55555555493827, 'Recall': 88.88888888855968, 'F1': 87.27272727235994, 'Miss_Rate': 0.1111111111106996, 'Accuracy_Balance': 72.22222222174898, 'Mathew_Correlation': 0.4629100498862753, 'Matrix': (24, 4, 3, 5)}]
 [7, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 83.87096774166494, 'Specificity': 44.444444443950616, 'Recall': 96.29629629593965, 'F1': 89.6551724134342, 'Miss_Rate': 0.03703703703689987, 'Accuracy_Balance': 70.37037036994514, 'Mathew_Correlation': 0.5101127853361844, 'Matrix': (26, 5, 1, 4)}]
 [9, 83.33333333310185, {'Accuracy': 83.33333333310185, 'Precision': 83.87096774166494, 'Specificity': 44.444444443950616, 'Recall': 96.29629629593965, 'F1': 89.6551724134342, 'Miss_Rate': 0.03703703703689987, 'Accuracy_Balance': 70.37037036994514, 'Mathew_Correlation': 0.5101127853361844, 'Matrix': (26, 5, 1, 4)}]
 [11, 88.88888888864197, {'Accuracy': 88.88888888864197, 'Precision': 87.09677419326744, 'Specificity': 55.55555555493827, 'Recall': 99.99999999962964, 'F1': 93.10344827549127, 'Miss_Rate': 0.0, 'Accuracy_Balance': 77.77777777728396, 'Mathew_Correlation': 0.6956083436402515, 'Matrix': (27, 4, 0, 5)}]
